Year,Month,name,category,value
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.040594726
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.049654283
2013,September,MiSeq,Illumina MiSeq,0.00416374
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.039438487
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.058087908
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.05662382
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.046062519
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.050715131
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.04721383
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.051788498
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.043635759
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.045051773
2013,October,HiSeq 2000 V3,Illumina HiSeq 2000,0.22976686
2013,September,HiSeq 2000E,Illumina HiSeq 2000,0.396572899
2013,September,HiSeq 2000 V3,Illumina HiSeq 2000,0.238754831
2013,September,HiSeq 2000 V3,Illumina HiSeq 2000,0.244549123
2013,September,HiSeq 2000 V3,Illumina HiSeq 2000,0.243455099
2013,September,HiSeq 2000 V3,Illumina HiSeq 2000,0.038063303
2013,October,HiSeq 2000 V3,Illumina HiSeq 2000,0.33957718
2013,October,HiSeq 2000 V3,Illumina HiSeq 2000,0.336909873
2013,September,HiSeq 2000E,Illumina HiSeq 2000,0.347080205
2013,October,HiSeq 2000 V3,Illumina HiSeq 2000,0.326279221
2013,October,HiSeq 2000 V3,Illumina HiSeq 2000,0.335838232
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.044297828
2013,August,HiSeq 2500,Illumina HiSeq 2500,0.039504493
2013,June,HiSeq 2500,Illumina HiSeq 2500,0.047220349
2013,April,HiSeq 2500,Illumina HiSeq 2000,0.034711009
2013,August,HiSeq 2500,Illumina HiSeq 2500,0.049721869
2013,June,HiSeq 2500,Illumina HiSeq 2500,0.000427781
2013,May,HiSeq 2500,Illumina HiSeq 2000,0.048222369
2013,March,HiSeq 2500,Illumina HiSeq 2000,0.02912981
2013,August,HiSeq 2500,Illumina HiSeq 2500,0.049723902
2013,February,HiSeq 2000 V3,Illumina HiSeq 2000,0.180891557
2013,August,MiSeq,Illumina MiSeq,0.002071166
2013,April,HiSeq 2000 V3,Illumina HiSeq 2000,0.248459533
2013,July,HiSeq 2500,Illumina HiSeq 2500,0.051200148
2013,June,HiSeq 2500,Illumina HiSeq 2000,0.055058489
2013,October,HiSeq 2000E,Illumina HiSeq 2000,0.464864954
2013,October,HiSeq 2000E,Illumina HiSeq 2000,0.382321995
2013,October,HiSeq 2000E,Illumina HiSeq 2000,0.274588185
2013,October,MiSeq,Illumina MiSeq,0.000556432
2013,October,MiSeq,Illumina MiSeq,0
2013,October,HiSeq 2000E,Illumina HiSeq 2000,0.204010073
2013,October,HiSeq 2000E,Illumina HiSeq 2000,0.196246085
2013,October,HiSeq 2000E,Illumina HiSeq 2000,0.188901679
2013,October,HiSeq 2000E,Illumina HiSeq 2000,0.226203849
2013,November,HiSeq 2000 V3,Illumina HiSeq 2500,0.278790241
2013,October,HiSeq 2000 V3,Illumina HiSeq 2500,0.05005931
2013,May,HiSeq 2500,Illumina HiSeq 2000,0.055557047
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.049984326
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.051337098
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.008261088
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.018888542
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.050055416
